Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
Suggested Recipe,,60-65,22,,8,500,40,90,,50,,"1,08-1,12",60-80,95,,,,70-80,30-20,,,,,,,,,45-65,45-65,45-65,45-65,,,,,,,,,05-Dec,,,,,03-May,02-Mar,,,,,,,,,,,,,,,,,,
Rubbermix NR65E83NAA,,65,20,,9.5,400,38,90,,50,,1.12,,,,,,50,,50,,,,,,,,60,,,,,,,,,,,,12,,,,,5,2.5,2,1,2,1.5,,,,,,,,,1.5,,,,,100
MR Control*,,,~23,~3,~10,,,~90,,~80,"~0,6",,,,,,,70,30,,,,,,,,,,65,,,,,,,,,,,15,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
"MR, +3 MR, -8 CB",,,~23,~3,~10,,,~100,,~80,"~0,9",,,,,,,70,30,,,,,,,,,,57,,,,,,,,3,,,15,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
RW 11-15 Corry N220,,68,25.6,3.23,,579,,,,,,,,,26.1,,,100,,,,,,,,,,62,,,,,,,,,,,,10,,,,2,4,1,2,,2,1.5,,,,,,,,,1.8,,,3.3,0.8,100
RW 11-15 Corry N326,,68,24.9,2.91,,577,,,,,,,,,25.4,,,100,,,,,,,,,75,,,,,,,,,,,,,10,,,,2,4,1,2,,2,1.5,,,,,,,,,1.8,,,3.3,0.8,100
RW 11-15 Corry N330,,71,25.1,4.07,,531,,,,,,,,,23.4,,,100,,,,,,,,68,,,,,,,,,,,,,,10,,,,2,4,1,2,,2,1.5,,,,,,,,,1.8,,,3.3,0.8,100
RW 11-15 Corry N339,,68,24.8,3.23,,547,,,,,,,,,23.7,,,100,,,,,,,60,,,,,,,,,,,,,,,10,,,,2,4,1,2,,2,1.5,,,,,,,,,1.8,,,3.3,0.8,100
RW 11-15 Corry N550,,75,19.3,5.68,,371,,,,,,,,,21,,,100,,,,,,78,,,,,,,,,,,,,,,,10,,,,2,4,1,2,,2,1.5,,,,,,,,,1.8,,,3.3,0.8,100
RW 2003 Cabot,Tread,72,25.2,,11.8,585,~40,~115,145,,,,,,29,,,100,,,,,,,,,,,50,,,,,,,,,,,8,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
RW 2003 Cabot,Tread,67,23.8,,10.6,590,~40,~106,136,,,,,,26,,,60,,40,,,,,,,,,50,,,,,,,,,,,8,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
Nocil Ltd - 2,Truck Tread,63,22,,10.5,550,,,,,,,,,,,,70,,30,,0.08,,,,,,,65,,,,,,,,,,15,,,,,,5,1.5,2.5,0.5,1,,1.4,,,,,,,,1.2,,0.2,2.6,1.2,100
Nocil Ltd - 2,Truck Tread,65,25.2,,14.8,475,,,,,,,,,,,,100,,,,0.1,,,,55,,,,,,,,,,,,,10,,,,,,5,2,2.5,1,0.5,,0.6,,,,,,,,2.4,,0.15,3,0.3,100
Nocil Ltd - 2,Tread Base,61,22.5,,11.1,500,,,,,,,,,,,,100,,,,0.1,,50,,,,,,,,,,,,,,,12,,,,,,5,2,2.5,1,0.5,,,1,,,,,,,1.5,,0.1,2.5,0.7,100
Nocil Ltd - 3,Truck Tread,60,26,,12.9,545,,,,,,,,,,,,100,,,,0.1,,,,,,,60,,,,,,,,,,12,,,,,,5,2,2.5,1,1,1.5,,,,,,,,,1.5,,0.1,3,1,100
Nocil Ltd - 3,Side Walls,62,21,,9.4,545,,,,,,,,,,,,50,,50,,0.05,,,,50,,,,,,,,,,,,,,5,,,,,5,1,2.5,1.5,2,1,,,,,,,,,1.3,,0.1,2.3,0.8,100
Nocil Ltd - 3,Belt,73,16.1,,12.3,250,,,,,,,,,,,,100,,,,0.1,,,,,60,,,,,,,,,,,,,,,1.5,,,10,1,2.5,1.5,,,,,1,,,,,,5,,0.1,6,0.2,100
Nocil Ltd - 3,Carcass,70,25.2,,17.23,425,,,,,,,,,,,,100,,,,0.1,,,55,,,,,,,,,,,,,,3,,,,,,10,0.5,2,1,,,,,1.1,,,,,,4,,,5.1,0.3,100
Nocil Ltd - 3,Apex,78,23.4,,21.32,340,,,,,,,,,,,,100,,,,0.1,,,52,,,,,,,,,,,,,,,,,2,,,10,2,2,1,,,,,0.7,,,,,0.1,4,,0.2,4.8,0.2,100
Nocil Ltd - 4,Pass Car Tread,63,22,,8.2,600,,,,,,,,,,,,,,55,45,,,,,,,70,,,,,,,,,,,37.5,,,,,,3,2,2.5,1.5,3,1,,,,,,,,,2,,,3,0.5,100
Nocil Ltd - 4,Pass Car Carcass,51,17,,5.4,570,,,,,,,,,,,,70,,15,15,0.07,40,,,,,,,,,,,,,,,,5.5,12,,,2,,3,2,0.5,1,,0.7,,,,0.1,,,,,2.2,,0.1,3,0.4,100
Nocil Ltd - 4,Truck Tread,68,18.9,,11.5,445,,,,,,,,,,,,,,,100,,,,,55,,,,,,,,,,,,,12.5,,,,2.5,,3,2,2,1,2,1,,,,,,,,,1.8,,,2.8,0.6,100
Nocil Ltd - 4,Tractor Rear,60,19.6,,7.5,600,,,,,,,,,,,,,,,100,,,,,60,,,,,,10,,,,,,,42.5,,,,2,,3,2,2,1,1.5,1.2,,,,,,,,,2,,0.05,3.2,0.6,100
Nocil Ltd - 4,OTR,69,24.5,,11.7,525,,,,,,,,,,,,100,,,,0.1,,,,,,45,,,,15,,,1,,,,10,,,,4,,5,2,2.5,1.5,1.5,1.2,,,,,,0.5,,,1.5,,0.2,3.2,1.1,100
Nocil Ltd - 5 - 1,Tire retread,60,27,,9,580,,115,,135,,,,,,,,100,,,,0.1,,,50,,,,,,,,,,,,,,6,,,,,,5,2.5,0.5,1,1,,,,0.7,,,,,,2.5,,,3.2,0.3,100
Nocil Ltd - 5 - 2,Tire retread,59,24,,8.5,580,,95,,85,,,,,,,,75,,25,,0.1,,,50,,,,,,,,,,,,,,12,,,,,,5,2.5,0.5,1,1,,0.8,,,,,,,,1.6,,0.2,2.4,0.5,100
Nocil Ltd - 5 - 3,Tire retread,63,22.5,,10,550,,125,,90,,,,,,,,80,,20,,0.1,,,55,,,65,,,,,,,,,,,20,,,,,,5,2.5,0.5,1,1,,1.2,,,,,,,,1.6,,0.2,2.8,0.8,100
Nocil Ltd - 5 - 4,Tire retread,60,28.3,,11.2,600,,125,,80,,,,,,,,80,,20,,0.1,,,55,,,,,,,,,,,,,,12,,,,,,5,2.5,0.5,1,1,,1,,,,,,,,1.8,,0.15,2.8,0.6,100
Nocil Ltd - 5 - 5,Tire retread,60,26,,11.8,580,,108,,63,,,,,,,,70,,30,,0.1,,,55,,,,,,,,,,,,,,14,,,,,,5,2.5,0.5,1,1,,1.1,,,,,,,,1.6,,0.1,2.7,0.7,100
Nocil Ltd - 5 - 6,Tire retread,61,24.5,,12.5,550,,96,,42,,,,,,,,60,,40,,0.1,,,,,,,,,,,,,,,,,16,,,,,,5,2.5,0.5,1,1,,1.2,,,,,,,,1.6,,0.1,2.8,0.8,100
