"Hardness, target",Abrasion Index,6 ppd,A/S Ratio
60.0,119.0,0.0,0.0
65.0,119.0,2.0,0.0
32.0,119.0,2.5,0.7
32.0,119.0,2.5,0.7
68.0,119.0,2.0,0.8
68.0,119.0,2.0,0.8
71.0,119.0,2.0,0.8
68.0,119.0,2.0,0.8
75.0,119.0,2.0,0.8
72.0,119.0,2.5,0.7
67.0,119.0,2.5,0.7
63.0,119.0,2.5,1.2
65.0,119.0,2.5,0.3
61.0,119.0,2.5,0.7
60.0,119.0,2.5,1.0
62.0,119.0,2.5,0.8
73.0,119.0,2.5,0.2
70.0,119.0,2.0,0.3
78.0,119.0,2.0,0.2
63.0,119.0,2.5,0.5
51.0,119.0,0.5,0.4
68.0,119.0,2.0,0.6
60.0,119.0,2.0,0.6
69.0,119.0,2.5,1.1
60.0,119.0,0.5,0.3
59.0,119.0,0.5,0.5
63.0,119.0,0.5,0.8
60.0,119.0,0.5,0.6
60.0,119.0,0.5,0.7
61.0,119.0,0.5,0.8
50.0,119.0,0.5,2.5
62.0,119.0,1.0,0.4
58.0,119.0,1.0,2.4
72.0,119.0,1.0,0.4
45.0,119.0,0.5,0.5
48.0,119.0,1.0,0.5
32.0,119.0,2.0,0.5
32.0,119.0,2.0,0.5
32.0,119.0,2.0,0.5
32.0,119.0,2.0,0.5
60.0,119.0,0.5,0.2
61.0,119.0,0.5,0.4
62.0,119.0,0.5,0.6
62.0,119.0,0.5,0.2
64.0,119.0,0.5,0.4
65.0,119.0,0.5,0.6
66.0,119.0,0.5,0.2
70.0,119.0,0.5,0.4
73.0,119.0,0.5,0.6
67.0,119.0,0.5,0.2
72.0,119.0,0.5,0.4
75.0,119.0,0.5,0.6
65.0,119.0,0.5,0.2
68.0,119.0,0.5,0.4
70.0,119.0,0.5,0.6
63.0,119.0,0.5,0.2
65.0,119.0,0.5,0.4
67.0,119.0,0.5,0.6
67.0,119.0,0.5,0.2
72.0,119.0,0.5,0.4
75.0,119.0,0.5,0.6
62.0,119.0,1.2,0.4
70.0,119.0,2.0,0.3
72.0,119.0,2.0,0.3
73.0,119.0,2.0,0.3
72.0,119.0,2.0,0.3
73.0,119.0,2.0,0.3
32.0,119.0,1.0,1.5
32.0,119.0,1.0,1.5
32.0,119.0,1.0,1.5
61.0,119.0,1.5,0.5
74.0,119.0,0.0,0.1
62.0,119.0,0.0,0.7
60.0,119.0,0.0,1.3
62.0,119.0,0.0,4.0
70.0,119.0,0.0,1.0
62.0,119.0,1.0,1.3
60.0,119.0,1.5,0.3
65.0,119.0,1.0,6.0
81.0,119.0,1.5,2.3
64.0,119.0,1.5,2.3
68.0,119.0,1.5,2.3
64.0,119.0,0.0,0.0
67.0,119.0,0.0,0.0
69.0,119.0,0.0,0.0
66.0,119.0,0.0,0.0
60.0,119.0,0.0,0.4
57.0,119.0,0.0,0.2
32.0,119.0,2.5,1.0
57.0,119.0,0.0,0.2
67.0,119.0,2.0,0.6
69.0,119.0,2.0,0.5
68.0,119.0,2.0,0.6
68.0,119.0,2.0,0.6
71.0,119.0,2.0,0.6
62.0,119.0,1.0,0.7
65.0,119.0,1.0,0.7
67.0,119.0,2.0,1.0
59.0,119.0,3.0,1.4
59.0,119.0,3.0,1.4
32.0,119.0,2.0,0.7
32.0,119.0,2.0,0.7
32.0,119.0,2.5,0.8
32.0,119.0,2.5,0.8
64.0,119.0,1.0,1.1
58.0,119.0,1.0,1.6
61.0,119.0,1.0,1.6
62.0,119.0,1.0,3.0
58.0,119.0,1.0,1.5
67.0,119.0,1.7,1.9
68.0,119.0,2.0,0.8
60.0,119.0,2.5,0.9
66.0,119.0,1.5,2.1
57.0,119.0,1.5,2.1
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
32.0,119.0,1.0,1.0
66.0,119.0,1.0,1.7
56.0,119.0,0.0,1.1
57.0,119.0,0.0,0.9
58.0,119.0,0.0,0.9
51.0,119.0,1.5,0.5
49.0,119.0,1.5,0.5
48.0,119.0,1.5,0.5
49.0,119.0,1.5,0.5
68.0,119.0,2.5,0.7
68.0,121.0,2.5,0.7
68.0,130.0,2.5,0.7
67.0,159.0,2.5,0.7
67.0,173.0,2.5,0.7
65.0,163.0,2.0,1.0
65.0,119.0,0.5,0.3
66.0,119.0,0.5,0.6
68.0,119.0,0.5,0.9
65.0,119.0,0.5,0.3
66.0,119.0,0.5,0.6
68.0,119.0,0.5,0.9
64.0,119.0,0.5,0.3
67.0,119.0,0.5,0.6
69.0,119.0,0.5,0.9
68.0,119.0,0.5,0.3
68.0,119.0,0.5,0.6
69.0,119.0,0.5,0.9
67.0,119.0,0.5,0.3
68.0,119.0,0.5,0.6
70.0,119.0,0.5,0.9
65.0,119.0,0.5,0.3
65.0,119.0,0.5,0.6
60.0,119.0,0.5,0.9
71.0,119.0,0.5,0.3
73.0,119.0,0.5,0.6
77.0,119.0,0.5,0.9
46.0,119.0,2.0,0.2
50.0,119.0,2.0,0.3
53.0,119.0,2.0,0.3
47.0,119.0,2.0,0.2
50.0,119.0,2.0,0.3
53.0,119.0,2.0,0.3
48.0,119.0,2.0,0.2
51.0,119.0,2.0,0.3
54.0,119.0,2.0,0.3
32.0,119.0,0.0,0.2
32.0,119.0,0.0,0.2
32.0,119.0,0.0,0.2
32.0,119.0,0.0,0.7
32.0,119.0,0.0,0.7
32.0,119.0,0.0,0.7
32.0,119.0,0.0,2.5
32.0,119.0,0.0,2.5
32.0,119.0,0.0,2.5
32.0,119.0,1.0,0.6
32.0,119.0,1.0,0.6
32.0,119.0,1.0,0.6
32.0,119.0,1.0,0.6
32.0,119.0,1.0,0.6
32.0,119.0,0.0,2.0
38.0,119.0,0.0,1.0
43.0,119.0,0.0,0.7
47.0,119.0,0.0,0.5
52.0,119.0,0.0,0.4
43.5,119.0,0.0,0.9
45.0,119.0,0.0,1.2
47.0,119.0,0.0,1.5
50.0,119.0,0.0,1.9
52.0,119.0,0.0,2.5
54.5,119.0,0.0,3.7
64.0,119.0,1.5,0.4
66.0,119.0,1.5,0.4
67.0,119.0,1.5,0.4
68.0,119.0,1.5,0.4
71.0,119.0,1.5,0.4
69.0,119.0,1.5,0.4
70.0,119.0,1.5,0.4
71.0,119.0,1.5,0.4
73.0,119.0,1.5,0.4
77.0,119.0,1.5,0.4
74.0,119.0,1.5,0.4
75.0,119.0,1.5,0.4
77.0,119.0,1.5,0.4
79.0,119.0,1.5,0.4
83.0,119.0,1.5,0.4
79.0,119.0,1.5,0.4
81.0,119.0,1.5,0.4
83.0,119.0,1.5,0.4
85.0,119.0,1.5,0.4
88.0,119.0,1.5,0.4
32.0,216.0,2.5,0.7
32.0,190.0,2.5,0.7
32.0,163.0,2.0,0.7
32.0,265.0,2.0,0.7
32.0,160.0,2.0,0.7
32.0,259.0,2.0,0.7
32.0,146.0,2.0,0.7
32.0,254.0,2.0,0.7
32.0,165.0,2.0,0.7
